"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-11","1.79",,"0.00","0.0","0.0","42","63","28","  250","  220","10.1","14.1","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-12","3.58",,"0.00","0.0","0.0","47","64","34","  200","  200","14.1","23.9","    1","    1",,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-13","5.14",,"0.00","0.0","0.0","56","66","40","  260","  300","17.0","25.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-14","7.61",,"1.17","0.0","0.0","42","44","35","  310","  310","18.1","29.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-15","4.47",,"0.00","0.0","0.0","36","42","27","  300","  310","13.0","23.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-16","12.30",,"1.42","1.6","0.0","32","36","28","   60","   50","30.0","38.9","    1","    1",,"    1",,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-17","6.04",,"0.02","0.0","1.2","33","39","25","  280","  330","21.0","31.1","    1",,,,,"    1","    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-18","4.25",,"0.00","0.0","1.2","33","36","26","  300","   10","8.9","17.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-19","1.79",,"0.00","0.0","0.0","29","37","21","  100","   90","8.1","8.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-20","2.01",,"0.00","0.0","0.0","37","45","31","  220","  210","12.1","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-21","2.46",,"0.02","0.0","0.0","40","50","36","  100","  310","8.9","12.1","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-22","11.41",,"0.01","0.0","0.0","43","50","35","  290","  290","29.1","40.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-23","3.80",,"0.00","0.0","0.0","39","49","26","  130","  200","12.1","18.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-24","9.62",,"0.65","0.0","0.0","50","61","41","  240","  180","25.1","42.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-25","13.87",,"0.39","0.0","0.0","44","60","24","  270","  220","23.0","40.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-26","9.62",,"0.00","0.0","0.0","27","34","23","  290","  280","18.1","25.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-27","2.91",,"0.00","0.0","0.0","32","41","22","  140","  110","12.1","16.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-28","4.92",,"0.00","0.0","0.0","40","56","27","  220","  230","13.0","21.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-29","8.05",,"0.00","0.0","0.0","40","43","25","  290","  300","21.9","38.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-30","4.92",,"0.00","0.0","0.0","35","48","26","  220","  220","15.0","23.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-31","8.28",,"0.00","0.0","0.0","48","54","36","  230","  220","16.1","28.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-01","6.04",,"1.02","0.0","0.0","36","39","30","  100","  100","25.9","33.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-02","8.05",,"0.01","0.0","0.0","44","57","38","  290","  320","29.1","36.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-03","6.93",,"0.20","0.0","0.0","41","42","36","   50","   30","13.0","17.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-04","3.36",,"0.00","0.0","0.0","39","47","31","  320","  320","10.1","14.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-05","3.36",,"0.00","0.0","0.0","41","44","38","  310","   10","8.9","15.0","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-06","9.62",,"0.00","0.0","0.0","40","42","37","  320","  320","18.1","30.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-07","6.04",,"0.00","0.0","0.0","40","47","31","  310","  340","15.0","23.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-08","3.80",,"0.00","0.0","0.0","34","38","29","  350","  340","8.1","16.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-09","10.07",,"0.00","0.0","0.0","36","46","29","  300","   10","18.1","28.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-10","4.92",,"0.00","0.0","0.0","39","50","26","  300","  290","14.1","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-11","1.34",,"0.00","0.0","0.0","33","45","24","  240","  190","6.0","8.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-12","2.68",,"0.00","0.0","0.0","35","49","23","  270","  270","12.1","15.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-13","2.46",,"0.00","0.0","0.0","35","51","23","  130","  140","12.1","16.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-14","1.79",,"0.00","0.0","0.0","38","55","27","  100","   30","8.1","12.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-15","6.04",,"0.27","0.0","0.0","40","50","31","  120","  120","16.1","23.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-16","8.28",,"0.00","0.0","0.0","43","49","34","  290","  260","18.1","25.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-17","8.50",,"0.00","0.0","0.0","40","50","34","  240","  230","19.9","29.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-18","9.40",,"0.00","0.0","0.0","40","46","32","  280","  300","21.9","31.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-19","7.16",,"0.00","0.0","0.0","39","51","29","  260","  260","21.0","28.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-20","10.96",,"0.01","0.0","0.0","38","45","24","  290","  290","32.0","46.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-21","5.82",,"0.00","0.0","0.0","35","53","20","  260","  270","18.1","25.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-22","7.38",,"0.00","0.0","0.0","41","50","31","  290","  310","21.9","33.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-23","12.75",,"0.00","0.0","0.0","34","38","24","  300","  300","25.1","36.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-24","6.71",,"0.00","0.0","0.0","29","39","22","  290","  310","13.0","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-25","5.14",,"0.11","0.5","0.0","35","37","30","   80","   50","12.1","15.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-26","5.59",,"0.07","0.0","0.0","33","36","31","   70","   70","12.1","15.0","    1",,,,,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-27","6.71",,"0.00","0.0","0.0","38","45","35","  300","  310","18.1","29.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-28","14.54",,"0.00","0.0","0.0","33","37","26","  310","  290","25.9","38.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-29","13.87",,"0.00","0.0","0.0","28","32","23","  310","  310","29.1","40.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-30","5.37",,"0.00","0.0","0.0","30","40","19","  300","  290","14.1","19.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-01-31","8.50",,"0.46","3.8","0.0","30","32","29","   60","   30","21.0","29.1","    1","    1",,,,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-01","8.95",,"0.32","0.1","3.1","31","33","29","   40","   50","17.0","27.1","    1",,,"    1",,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-02","12.75",,"0.02","0.2","3.1","33","36","30","  310","  300","23.0","34.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-03","13.65",,"0.00","0.0","2.0","34","41","30","  290","  300","21.9","32.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-04","7.61",,"0.00","0.0","1.2","36","46","27","  280","  280","17.0","23.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-05","8.72",,"0.10","0.0","0.0","43","55","35","  310","  310","23.0","33.1",,,,"    1",,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-06","5.82",,"0.00","0.0","0.0","40","49","28","  250","  240","23.9","33.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-07","6.26",,"0.42","0.3","0.0","39","44","27","  290","  290","19.9","28.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2021-02-08","4.25",,"0.00","0.0","0.0","29","38","22","  140","  360","12.1","21.9",,,,,,,,
